,H_Temperature,L_Temperature,Month,DayOfWeek,isWeekend,isholiday,isspringfestival,PriorDay,Prior2Day,PriorWeek,Load
431,16,6,3,1,0,0,0,3680144,3862328,3830666,4082510
432,9,1,3,2,0,0,0,4082510,3680144,3990461,4128456
433,7,1,3,3,0,0,0,4128456,4082510,4052463,4266444
434,8,-1,3,4,0,0,0,4266444,4128456,4077052,4034056
435,11,1,3,5,0,0,0,4034056,4266444,4047478,4187860
436,13,4,3,6,1,0,0,4187860,4034056,3862328,3971600
437,11,4,3,7,1,0,0,3971600,4187860,3680144,3671423
438,13,3,3,1,0,0,0,3671423,3971600,4082510,4040799
439,14,4,3,2,0,0,0,4040799,3671423,4128456,4126436
440,18,6,3,3,0,0,0,4126436,4040799,4266444,3999919
441,15,9,3,4,0,0,0,3999919,4126436,4034056,3960902
442,18,11,3,5,0,0,0,3960902,3999919,4187860,4028738
443,19,7,3,6,1,0,0,4028738,3960902,3971600,3890087
444,17,6,3,7,1,0,0,3890087,4028738,3671423,3590345
445,17,6,3,1,0,0,0,3590345,3890087,4040799,3903985
446,16,9,3,2,0,0,0,3903985,3590345,4126436,4615207
447,14,4,3,3,0,0,0,4615207,3903985,3999919,4049102
448,12,3,3,4,0,0,0,4049102,4615207,3960902,4080274
449,15,3,3,5,0,0,0,4080274,4049102,4028738,4024048
450,15,5,3,6,1,0,0,4024048,4080274,3890087,3911950
451,18,7,3,7,1,0,0,3911950,4024048,3590345,3684076
452,20,9,3,1,0,0,0,3684076,3911950,3903985,3969515
453,20,13,3,2,0,0,0,3969515,3684076,4615207,4026603
454,21,12,3,3,0,0,0,4026603,3969515,4049102,4007978
455,20,10,3,4,0,0,0,4007978,4026603,4080274,4019892
456,24,14,4,5,0,0,0,4019892,4007978,4024048,4003527
457,19,13,4,6,1,0,0,4003527,4019892,3911950,4017529
458,14,9,4,7,1,1,0,4017529,4003527,3684076,3732506
459,18,10,4,1,0,1,0,3732506,4017529,3969515,3216632
460,16,11,4,2,0,1,0,3216632,3732506,4026603,3710743
461,14,12,4,3,0,0,0,3710743,3216632,4007978,4068945
462,20,10,4,4,0,0,0,4068945,3710743,4019892,3995555
463,23,13,4,5,0,0,0,3995555,4068945,4003527,4036804
464,25,13,4,6,1,0,0,4036804,3995555,4017529,3995427
465,26,11,4,7,1,0,0,3995427,4036804,3732506,3713744
466,21,12,4,1,0,0,0,3713744,3995427,3216632,3902557
467,23,14,4,2,0,0,0,3902557,3713744,3710743,3994915
468,27,16,4,3,0,0,0,3994915,3902557,4068945,4030816
469,27,15,4,4,0,0,0,4030816,3994915,3995555,4053163
470,25,16,4,5,0,0,0,4053163,4030816,4036804,4044319
471,20,12,4,6,1,0,0,4044319,4053163,3995427,3962151
472,20,11,4,7,1,0,0,3962151,4044319,3713744,3720344
473,22,12,4,1,0,0,0,3720344,3962151,3902557,3830146
474,24,15,4,2,0,0,0,3830146,3720344,3994915,3853482
475,18,14,4,3,0,0,0,3853482,3830146,4030816,3601084
476,25,15,4,4,0,0,0,3601084,3853482,4053163,3938636
477,27,16,4,5,0,0,0,3938636,3601084,4044319,3975591
478,18,13,4,6,1,0,0,3975591,3938636,3962151,4130359
479,21,13,4,7,1,0,0,4130359,3975591,3720344,3779401
480,20,13,4,1,0,0,0,3779401,4130359,3830146,3992619
481,17,12,4,2,0,0,0,3992619,3779401,3853482,4096040
482,17,11,4,3,0,0,0,4096040,3992619,3601084,3938562
483,23,12,4,4,0,0,0,3938562,4096040,3938636,3950044
484,27,15,4,5,0,0,0,3950044,3938562,3975591,3956025
485,29,17,4,6,1,0,0,3956025,3950044,4130359,3675404
486,30,20,5,7,1,1,0,3675404,3956025,3779401,3127033
487,26,16,5,1,0,1,0,3127033,3675404,3992619,3471769
488,25,14,5,2,0,1,0,3471769,3127033,4096040,3686262
489,30,20,5,3,0,0,0,3686262,3471769,3938562,3904758
490,25,20,5,4,0,0,0,3904758,3686262,3950044,4076967
491,28,17,5,5,0,0,0,4076967,3904758,3956025,4110685
492,19,15,5,6,1,0,0,4110685,4076967,3675404,4001702
493,17,13,5,7,1,0,0,4001702,4110685,3127033,3626796
494,20,15,5,1,0,0,0,3626796,4001702,3471769,4004587
495,21,13,5,2,0,0,0,4004587,3626796,3686262,3977966
496,27,16,5,3,0,0,0,3977966,4004587,3904758,4015503
497,30,16,5,4,0,0,0,4015503,3977966,4076967,4132899
498,20,15,5,5,0,0,0,4132899,4015503,4110685,4108075
499,26,16,5,6,1,0,0,4108075,4132899,4001702,3989503
500,18,13,5,7,1,0,0,3989503,4108075,3626796,3756678
501,25,13,5,1,0,0,0,3756678,3989503,4004587,3952351
502,26,14,5,2,0,0,0,3952351,3756678,3977966,3949708
503,25,14,5,3,0,0,0,3949708,3952351,4015503,3901864
504,27,17,5,4,0,0,0,3901864,3949708,4132899,3913280
505,24,17,5,5,0,0,0,3913280,3901864,4108075,3963967
506,19,16,5,6,1,0,0,3963967,3913280,3989503,3890195
507,19,15,5,7,1,0,0,3890195,3963967,3756678,3640372
508,23,17,5,1,0,0,0,3640372,3890195,3952351,3969389
509,26,17,5,2,0,0,0,3969389,3640372,3949708,4043578
510,29,21,5,3,0,0,0,4043578,3969389,3901864,4096819
511,26,20,5,4,0,0,0,4096819,4043578,3913280,4219737
512,23,19,5,5,0,0,0,4219737,4096819,3963967,4113139
513,21,19,5,6,1,0,0,4113139,4219737,3890195,4009038
514,24,17,5,7,1,0,0,4009038,4113139,3640372,3789849
515,27,20,5,1,0,0,0,3789849,4009038,3969389,3872713
516,29,21,5,2,0,0,0,3872713,3789849,4043578,4014739
517,21,16,6,3,0,0,0,4014739,3872713,4096819,3988022
518,22,18,6,4,0,0,0,3988022,4014739,4219737,3968795
519,23,18,6,5,0,0,0,3968795,3988022,4113139,4041719
520,22,16,6,6,1,0,0,4041719,3968795,4009038,3874204
521,26,18,6,7,1,0,0,3874204,4041719,3789849,3692647
522,27,19,6,1,0,0,0,3692647,3874204,3872713,4008633
523,26,21,6,2,0,0,0,4008633,3692647,4014739,4162818
524,24,19,6,3,0,0,0,4162818,4008633,3988022,4055291
525,25,19,6,4,0,0,0,4055291,4162818,3968795,3548896
526,27,22,6,5,0,0,0,3548896,4055291,4041719,3762722
527,30,23,6,6,1,0,0,3762722,3548896,3874204,3902134
528,26,20,6,7,1,0,0,3902134,3762722,3692647,3974914
529,31,22,6,1,0,0,0,3974914,3902134,4008633,4169418
530,33,25,6,2,0,0,0,4169418,3974914,4162818,4264932
531,30,22,6,3,0,0,0,4264932,4169418,4055291,4334099
532,30,20,6,4,0,0,0,4334099,4264932,3548896,4163197
533,32,23,6,5,0,0,0,4163197,4334099,3762722,4301308
534,33,25,6,6,1,0,0,4301308,4163197,3902134,4234259
535,32,25,6,7,1,0,0,4234259,4301308,3974914,4047065
536,29,25,6,1,0,0,0,4047065,4234259,4169418,4155898
537,29,24,6,2,0,0,0,4155898,4047065,4264932,4371422
538,31,25,6,3,0,0,0,4371422,4155898,4334099,4418030
539,33,27,6,4,0,0,0,4418030,4371422,4163197,4536418
540,27,21,6,5,0,0,0,4536418,4418030,4301308,4447924
541,27,20,6,6,1,0,0,4447924,4536418,4234259,4087964
542,29,21,6,7,1,0,0,4087964,4447924,4047065,3885732
543,22,19,6,1,0,0,0,3885732,4087964,4155898,4128141
544,25,21,6,2,0,0,0,4128141,3885732,4371422,4207413
545,28,22,6,3,0,0,0,4207413,4128141,4418030,4747110
546,33,25,6,4,0,0,0,4747110,4207413,4536418,4905574
547,26,23,7,5,0,0,0,4905574,4747110,4447924,4335777
548,26,22,7,6,1,0,0,4335777,4905574,4087964,4079363
549,25,22,7,7,1,0,0,4079363,4335777,3885732,3840101
550,27,22,7,1,0,0,0,3840101,4079363,4128141,4071327
551,28,23,7,2,0,0,0,4071327,3840101,4207413,4161432
552,28,25,7,3,0,0,0,4161432,4071327,4747110,4104851
553,30,24,7,4,0,0,0,4104851,4161432,4905574,4498741
554,32,24,7,5,0,0,0,4498741,4104851,4335777,4554365
555,31,24,7,6,1,0,0,4554365,4498741,4079363,4333160
556,28,24,7,7,1,0,0,4333160,4554365,3840101,4074906
557,29,24,7,1,0,0,0,4074906,4333160,4071327,4441372
558,32,26,7,2,0,0,0,4441372,4074906,4161432,4525375
559,32,26,7,3,0,0,0,4525375,4441372,4104851,4481143
560,29,26,7,4,0,0,0,4481143,4525375,4498741,4538956
561,33,22,7,5,0,0,0,4538956,4481143,4554365,4634383
562,29,22,7,6,1,0,0,4634383,4538956,4333160,4220289
563,32,24,7,7,1,0,0,4220289,4634383,4074906,4107215
564,32,26,7,1,0,0,0,4107215,4220289,4441372,4550893
565,32,26,7,2,0,0,0,4550893,4107215,4525375,4677268
566,36,28,7,3,0,0,0,4677268,4550893,4481143,4772549
567,37,29,7,4,0,0,0,4772549,4677268,4538956,4750962
568,37,29,7,5,0,0,0,4750962,4772549,4634383,4754751
569,38,30,7,6,1,0,0,4754751,4750962,4220289,4637393
570,38,30,7,7,1,0,0,4637393,4754751,4107215,4311960
571,38,29,7,1,0,0,0,4311960,4637393,4550893,4809396
572,39,30,7,2,0,0,0,4809396,4311960,4677268,4852473
573,38,30,7,3,0,0,0,4852473,4809396,4772549,4737322
574,38,29,7,4,0,0,0,4737322,4852473,4750962,4790575
575,38,30,7,5,0,0,0,4790575,4737322,4754751,4788141
576,37,28,7,6,1,0,0,4788141,4790575,4637393,4514944
577,36,27,7,7,1,0,0,4514944,4788141,4311960,4259280
578,35,27,8,1,0,0,0,4259280,4514944,4809396,4627029
579,35,27,8,2,0,0,0,4627029,4259280,4852473,4618467
580,32,25,8,3,0,0,0,4618467,4627029,4737322,4490739
581,33,26,8,4,0,0,0,4490739,4618467,4790575,4367727
582,33,26,8,5,0,0,0,4367727,4490739,4788141,4253298
583,33,26,8,6,1,0,0,4253298,4367727,4514944,4023140
584,34,26,8,7,1,0,0,4023140,4253298,4259280,3663205
585,35,26,8,1,0,0,0,3663205,4023140,4627029,3689233
586,34,27,8,2,0,0,0,3689233,3663205,4618467,3679212
587,33,27,8,3,0,0,0,3679212,3689233,4490739,3994246
588,35,27,8,4,0,0,0,3994246,3679212,4367727,4061157
589,35,27,8,5,0,0,0,4061157,3994246,4253298,4127489
590,36,28,8,6,1,0,0,4127489,4061157,4023140,4043540
591,35,27,8,7,1,0,0,4043540,4127489,3663205,3744055
592,35,27,8,1,0,0,0,3744055,4043540,3689233,4222039
593,34,26,8,2,0,0,0,4222039,3744055,3679212,4603302
594,34,26,8,3,0,0,0,4603302,4222039,3994246,4200728
595,35,28,8,4,0,0,0,4200728,4603302,4061157,4454857
596,36,28,8,5,0,0,0,4454857,4200728,4127489,4517220
597,36,27,8,6,1,0,0,4517220,4454857,4043540,4141047
598,31,26,8,7,1,0,0,4141047,4517220,3744055,3873626
599,34,27,8,1,0,0,0,3873626,4141047,4222039,4285132
600,34,24,8,2,0,0,0,4285132,3873626,4603302,4200526
601,33,23,8,3,0,0,0,4200526,4285132,4200728,4151262
602,34,25,8,4,0,0,0,4151262,4200526,4454857,4194893
603,28,23,8,5,0,0,0,4194893,4151262,4517220,4018774
604,29,20,8,6,1,0,0,4018774,4194893,4141047,3610828
605,30,19,8,7,1,0,0,3610828,4018774,3873626,3446470
606,30,21,8,1,0,0,0,3446470,3610828,4285132,3681879
607,30,21,8,2,0,0,0,3681879,3446470,4200526,3607667
608,31,22,8,3,0,0,0,3607667,3681879,4151262,3664003
609,33,23,9,4,0,0,0,0,0,0,0
610,34,22,9,5,0,0,0,0,0,0,0
611,34,23,9,6,1,0,0,0,0,0,0
612,31,22,9,7,1,0,0,0,0,0,0
613,32,23,9,1,0,0,0,0,0,0,0
614,27,21,9,2,0,0,0,0,0,0,0
615,27,20,9,3,0,0,0,0,0,0,0
616,30,21,9,4,0,0,0,0,0,0,0
617,33,23,9,5,0,0,0,0,0,0,0
618,30,21,9,6,1,0,0,0,0,0,0
619,28,20,9,7,1,0,0,0,0,0,0
620,30,20,9,1,0,0,0,0,0,0,0
621,31,21,9,2,0,0,0,0,0,0,0
622,29,22,9,3,0,0,0,0,0,0,0
623,24,21,9,4,0,1,0,0,0,0,0
624,24,22,9,5,0,1,0,0,0,0,0
625,27,21,9,6,1,1,0,0,0,0,0
626,28,20,9,7,1,0,0,0,0,0,0
627,26,18,9,1,0,0,0,0,0,0,0
628,25,17,9,2,0,0,0,0,0,0,0
629,24,17,9,3,0,0,0,0,0,0,0
630,27,18,9,4,0,0,0,0,0,0,0
631,27,19,9,5,0,0,0,0,0,0,0
632,28,20,9,6,1,0,0,0,0,0,0
633,28,21,9,7,1,0,0,0,0,0,0
634,29,22,9,1,0,0,0,0,0,0,0
635,30,23,9,2,0,0,0,0,0,0,0
636,24,19,9,3,0,0,0,0,0,0,0
637,21,17,9,4,0,0,0,0,0,0,0
638,22,19,9,5,0,0,0,0,0,0,0
